CUSTOMERNAME,SALES,QUANTITYORDERED,Contact Name,PHONE,Address1,COUNTRY
Ivy,4932,33,Frank Brown,510-728-9536,Street Z,Canada
Eva,794,50,David Smith,393-828-1941,Street V,India
Jack,1060,40,Helen Lee,892-939-3871,Street Q,India
Frank,2423,31,Bob Smith,755-606-8192,Street S,Canada
Jack,2854,48,Eva Johnson,110-306-9489,Street B,Japan
David,2363,47,Helen Patel,392-299-1550,Street P,France
Bob,1240,4,Ivy Johnson,902-713-9364,Street D,Australia
Alice,4055,46,Frank Johnson,628-815-4795,Street I,France
David,1306,9,Jack Johnson,729-273-1590,Street B,Canada
Eva,1323,34,Grace Johnson,468-344-1004,Street C,USA
Bob,4134,14,Jack Brown,261-188-5520,Street J,Canada
David,1862,36,Grace Lee,898-509-6785,Street V,Japan
Bob,2953,21,Jack Patel,785-504-7642,Street A,UK
Grace,737,43,Bob Smith,700-305-9482,Street Y,UK
Eva,876,31,Frank Smith,115-854-2124,Street D,India
Helen,3157,34,Frank Lee,192-662-5661,Street Z,USA
Frank,959,25,Helen Johnson,843-949-6703,Street D,Canada
Charlie,2903,21,Jack Johnson,455-935-5530,Street T,India
Frank,3436,12,Charlie Patel,331-720-4187,Street G,France
Frank,3570,30,Eva Smith,565-513-1076,Street S,Australia
David,4028,35,Jack Johnson,367-279-7670,Street G,Japan
Eva,1692,22,Jack Brown,618-209-2185,Street F,Japan
Bob,2500,35,Bob Patel,615-401-6570,Street V,France
Jack,4851,23,Charlie Brown,219-922-9409,Street L,Australia
Charlie,3875,44,Frank Brown,363-997-9813,Street A,UK
Ivy,1975,50,Bob Lee,932-912-5098,Street C,Germany
David,1892,47,David Lee,810-553-7178,Street E,UK
Charlie,1934,44,Eva Brown,676-595-4985,Street X,Canada
Helen,1146,42,Bob Lee,875-447-8517,Street I,France
Grace,3633,45,Charlie Brown,797-571-1448,Street S,Canada
Eva,2472,17,Frank Johnson,593-219-5224,Street L,India
Ivy,4576,40,Charlie Lee,169-491-4610,Street L,USA
David,1672,31,Ivy Brown,793-818-4767,Street F,USA
Frank,2402,13,Grace Patel,919-423-7757,Street Q,India
Alice,4277,16,Grace Patel,461-628-9776,Street Y,Canada
David,2580,18,Jack Lee,109-817-5314,Street X,USA
Alice,4264,36,Charlie Patel,354-394-2523,Street T,UK
Frank,2591,20,Jack Smith,508-789-6603,Street H,Japan
Grace,576,15,Grace Smith,177-667-3924,Street Q,Japan
Eva,4311,20,Grace Patel,587-421-6792,Street S,India
Bob,2856,50,Charlie Brown,323-687-5408,Street C,Japan
David,4977,19,Helen Patel,287-864-4115,Street D,France
Jack,1794,46,Ivy Patel,610-854-4271,Street S,Australia
Frank,1105,14,Charlie Patel,340-853-4965,Street Y,India
David,4118,45,Ivy Brown,993-371-4387,Street A,France
Helen,3330,46,Charlie Brown,334-307-5091,Street Q,Canada
Grace,2950,32,Helen Smith,956-733-6833,Street G,UK
Helen,3975,21,Eva Lee,259-897-2747,Street W,UK
Charlie,2548,31,Charlie Smith,222-180-9071,Street G,USA
Eva,4242,23,Charlie Brown,728-106-9871,Street J,Germany
Charlie,2974,36,Frank Brown,143-968-8901,Street F,Canada
David,2131,47,Helen Brown,480-735-6167,Street Y,USA
Ivy,3651,18,Jack Brown,604-688-5501,Street R,Germany
Ivy,4458,19,Alice Brown,602-287-9374,Street A,USA
Eva,1373,8,Frank Brown,386-507-4638,Street X,Germany
Jack,2443,37,Alice Johnson,868-690-3101,Street D,Japan
Grace,3624,44,Helen Johnson,155-638-7933,Street G,UK
Jack,3440,35,Charlie Patel,589-653-1533,Street Q,Germany
Grace,2923,25,David Johnson,614-455-7450,Street W,India
Frank,2918,26,Grace Smith,981-802-3863,Street P,Germany
David,679,23,Ivy Patel,568-223-9490,Street L,Canada
Charlie,3742,50,Ivy Lee,571-423-1137,Street W,France
Ivy,2748,10,Helen Brown,112-790-4452,Street S,Japan
Helen,566,19,Grace Johnson,488-694-2650,Street F,UK
Bob,901,3,Helen Smith,433-470-5254,Street O,Japan
Alice,4569,19,Grace Lee,291-661-5306,Street V,India
Bob,2844,46,Helen Brown,342-375-8722,Street D,USA
Charlie,2385,6,Helen Brown,727-451-6995,Street F,Canada
Charlie,3386,23,Charlie Lee,288-610-7945,Street L,UK
Grace,2294,29,Bob Lee,315-529-7099,Street M,UK
Jack,2057,42,Jack Lee,473-974-7563,Street N,Japan
Bob,2553,17,Alice Smith,386-561-3947,Street G,Japan
Grace,1620,48,David Patel,685-234-4744,Street Q,Japan
Grace,1295,31,Eva Patel,933-202-5422,Street H,USA
Jack,822,14,Alice Johnson,923-341-8081,Street N,Japan
Helen,3030,13,Eva Brown,976-490-4212,Street D,Germany
Ivy,4111,35,David Johnson,249-919-3450,Street Y,Germany
Eva,773,18,Ivy Patel,584-925-1159,Street K,France
Ivy,3488,36,Eva Lee,280-531-9185,Street D,India
Alice,1576,45,Charlie Brown,237-969-9470,Street O,USA
Bob,1238,18,Helen Patel,646-837-6172,Street D,Australia
Ivy,2917,9,Jack Brown,904-598-5915,Street Q,USA
Eva,3176,7,Helen Johnson,356-675-1781,Street E,Canada
Frank,3903,40,Ivy Patel,507-201-3676,Street P,India
Bob,1938,48,Ivy Johnson,161-320-5166,Street Y,India
Eva,2144,38,Bob Brown,587-959-2577,Street L,Japan
Grace,1582,16,Jack Smith,560-862-6483,Street W,France
Charlie,4918,16,Bob Lee,366-469-6903,Street J,USA
Helen,3497,4,Eva Johnson,673-670-5222,Street R,Japan
Alice,4848,43,Ivy Brown,452-120-7746,Street X,India
Eva,4610,34,Frank Patel,224-459-4259,Street B,Japan
Ivy,2732,15,Ivy Johnson,690-689-9821,Street C,Japan
Charlie,1847,41,Alice Brown,278-899-5663,Street K,Germany
Ivy,2605,15,Helen Smith,463-432-9363,Street P,USA
Bob,4447,4,Ivy Johnson,599-893-8322,Street D,USA
Eva,2917,7,David Brown,180-490-5694,Street M,India
Ivy,3274,27,Grace Johnson,574-746-3373,Street J,Australia
Jack,1443,22,Bob Brown,989-271-6527,Street O,Canada
David,4336,46,David Lee,531-746-7631,Street T,France
Charlie,1116,31,Eva Brown,969-173-2296,Street X,India
Frank,1653,7,Alice Brown,265-451-4739,Street J,Japan
Charlie,2348,44,Helen Brown,421-424-5773,Street V,Canada
Ivy,3755,50,Eva Patel,827-373-7479,Street O,Japan
Ivy,3496,9,Frank Brown,377-555-6950,Street H,Australia
Alice,1239,1,Bob Lee,865-701-9535,Street R,Japan
Jack,3732,36,Helen Smith,561-523-3741,Street N,India
Frank,614,11,Bob Lee,288-974-1378,Street J,USA
Helen,2666,27,David Smith,228-845-4844,Street N,UK
Alice,4895,42,David Patel,777-357-2311,Street G,France
Bob,1512,31,Jack Patel,315-270-7505,Street C,Germany
Frank,4225,31,Frank Patel,205-197-2045,Street Z,Japan
Eva,3519,42,Jack Smith,999-584-9985,Street P,Australia
David,2647,13,Grace Lee,155-126-7504,Street V,Japan
Alice,3621,49,Charlie Johnson,636-883-2363,Street L,Germany
David,3543,19,Jack Patel,206-368-3544,Street F,Germany
Jack,1387,21,Charlie Smith,186-770-7387,Street A,Australia
Bob,2415,19,David Lee,416-334-5053,Street V,Japan
Bob,4362,42,David Patel,855-390-8260,Street P,UK
Helen,705,4,Alice Brown,741-229-3150,Street V,France
Bob,3187,50,Jack Lee,639-958-3795,Street D,India
Ivy,2313,6,Frank Smith,129-135-6846,Street M,India
Charlie,1017,42,Ivy Johnson,981-433-8801,Street O,Australia
Charlie,4303,37,Eva Johnson,578-991-9856,Street Q,Japan
Helen,2975,15,Jack Johnson,378-661-8288,Street V,UK
Ivy,3844,35,Ivy Brown,238-814-9835,Street V,Germany
Charlie,1455,48,Charlie Lee,281-705-8480,Street C,France
Eva,1645,47,Frank Patel,746-866-8126,Street D,Canada
Ivy,871,3,Eva Lee,636-755-9745,Street E,Japan
Jack,804,12,Eva Johnson,417-455-8891,Street M,UK
Grace,2993,27,Jack Brown,652-332-2467,Street M,UK
David,4535,12,Eva Johnson,552-415-6992,Street W,Germany
Ivy,1451,3,Ivy Smith,522-366-3551,Street S,UK
David,1296,26,Bob Lee,410-110-1001,Street D,Japan
Eva,2423,32,Charlie Brown,635-934-3233,Street X,Canada
Grace,4903,12,Grace Johnson,452-393-8687,Street F,India
Frank,1611,48,Alice Brown,647-108-9059,Street C,Japan
Helen,3683,19,Eva Smith,873-588-5908,Street L,France
Ivy,4216,3,Charlie Smith,109-884-8052,Street G,Germany
Helen,3539,1,Charlie Lee,917-399-4788,Street K,Germany
Bob,4925,20,David Brown,915-107-9981,Street G,USA
David,3933,37,Charlie Johnson,482-293-7745,Street T,USA
David,1765,39,Frank Johnson,674-547-7467,Street M,Australia
Bob,3898,7,David Patel,355-267-7385,Street D,France
Frank,1311,22,Grace Johnson,948-487-4614,Street H,Australia
Alice,4508,19,Helen Lee,369-181-7917,Street N,UK
Jack,3843,30,Charlie Smith,740-345-9464,Street X,UK
Ivy,2791,42,Jack Johnson,882-919-5454,Street P,USA
David,768,35,Eva Patel,391-764-9715,Street I,Canada
Jack,3535,34,Grace Lee,928-375-7765,Street Y,Australia
David,2279,32,Grace Lee,292-973-2121,Street W,India
Alice,4132,9,Helen Lee,286-239-5744,Street Y,Canada
Bob,4142,33,Bob Lee,213-752-8460,Street S,Germany
Alice,2434,30,Bob Lee,732-563-5458,Street S,Canada
David,3471,18,Grace Lee,817-737-9060,Street I,Germany
Bob,1313,13,Ivy Smith,292-428-1317,Street Y,Japan
Alice,3509,8,Eva Smith,255-150-9764,Street Z,France
Frank,4960,22,Frank Patel,122-290-2675,Street Z,Australia
Bob,3438,11,Helen Johnson,388-375-3048,Street U,Australia
Ivy,996,47,Helen Brown,832-548-1134,Street M,USA
David,3761,30,Frank Smith,338-192-3468,Street L,France
Eva,2760,42,Jack Brown,115-605-4558,Street P,UK
Helen,2054,17,Alice Patel,450-530-6104,Street V,Canada
David,1500,46,Bob Johnson,904-918-9165,Street T,USA
Ivy,4225,12,Helen Smith,480-574-1519,Street M,Japan
Charlie,1250,1,Frank Smith,438-182-3393,Street P,Japan
Jack,2237,48,Bob Johnson,157-372-7429,Street Q,Canada
Jack,674,22,Ivy Johnson,173-656-8702,Street I,Canada
Helen,914,19,Grace Brown,285-296-5097,Street E,Canada
David,3232,37,David Brown,936-490-1206,Street Y,USA
Helen,2495,44,Grace Johnson,224-886-5078,Street O,Canada
Grace,1531,49,David Smith,494-889-8257,Street D,UK
David,2181,13,Helen Lee,353-855-1549,Street D,Canada
Bob,1062,12,Eva Patel,303-571-2539,Street I,Germany
Bob,2197,40,Frank Patel,633-781-4415,Street P,Australia
Grace,2269,41,Eva Brown,584-498-6113,Street P,UK
Frank,2408,26,Frank Johnson,430-262-1691,Street H,France
Grace,3191,28,Ivy Smith,862-662-9534,Street U,Japan
Grace,1708,33,Jack Smith,225-359-8884,Street E,Japan
Helen,523,21,Charlie Brown,753-405-4255,Street A,Canada
Alice,2771,6,Jack Brown,469-153-4568,Street D,UK
Bob,1685,26,Helen Lee,215-341-8113,Street X,Australia
Alice,1564,43,Frank Patel,432-115-3742,Street B,Australia
Grace,4925,7,Alice Patel,913-382-2960,Street C,UK
Frank,2553,12,Alice Patel,505-908-4982,Street P,Canada
Bob,1929,9,Bob Brown,109-143-8786,Street V,Germany
David,1400,31,Helen Lee,804-710-3539,Street A,Japan
David,711,21,Alice Johnson,480-889-2466,Street F,India
David,1579,16,Bob Brown,354-261-9190,Street M,USA
Ivy,621,1,Charlie Lee,193-802-6544,Street T,Germany
Helen,3434,17,Helen Brown,877-740-1983,Street V,Japan
Charlie,2449,25,Helen Johnson,161-464-3521,Street K,Australia
Grace,3152,16,Alice Johnson,818-649-2759,Street E,France
Charlie,629,29,Grace Lee,228-599-4812,Street J,UK
Eva,1927,49,David Smith,424-671-6690,Street T,Canada
Helen,2673,18,Charlie Johnson,924-549-4161,Street T,France
David,929,22,Eva Johnson,121-805-7189,Street D,Australia
Bob,1538,20,Charlie Johnson,466-841-3207,Street Y,India
Helen,3948,38,Eva Johnson,356-140-8951,Street C,Australia
Ivy,4809,47,Bob Smith,823-548-5828,Street V,Germany
Bob,1431,37,Frank Patel,655-813-9029,Street Y,UK
Alice,1020,1,Eva Patel,294-680-4057,Street Q,India
Ivy,4401,17,Bob Johnson,656-456-6303,Street Y,Germany
Alice,4172,42,Frank Smith,849-579-5510,Street P,UK
Bob,3465,24,Charlie Brown,988-951-3627,Street Z,India
David,4704,45,Alice Smith,170-643-3539,Street O,India
Charlie,1393,16,Grace Lee,560-402-5314,Street G,India
Grace,4202,4,Eva Brown,654-475-8439,Street J,Japan
Helen,4627,43,David Patel,100-894-9289,Street V,Australia
Helen,2314,8,Grace Patel,488-851-4039,Street P,USA
David,855,30,Bob Smith,119-734-6965,Street P,Japan
Grace,4771,20,Bob Patel,894-735-4912,Street Q,UK
Alice,2970,11,Alice Smith,428-838-2037,Street I,USA
Charlie,4252,26,David Smith,774-651-7348,Street R,Canada
Grace,755,44,Helen Smith,294-636-9151,Street K,Canada
Alice,998,33,Bob Smith,884-664-3525,Street Z,Australia
Grace,4423,46,Charlie Smith,727-389-6285,Street R,Australia
Eva,3790,50,Jack Lee,519-756-6276,Street R,India
Helen,3992,20,David Lee,213-198-9572,Street A,UK
Eva,1384,45,Ivy Lee,774-168-1717,Street Y,India
Grace,4516,8,Helen Smith,955-232-3926,Street B,USA
Ivy,4133,41,Alice Patel,994-132-4310,Street N,India
Helen,1102,19,Alice Brown,209-597-4139,Street D,USA
Charlie,1161,24,Frank Lee,201-132-7366,Street M,UK
David,3138,40,Bob Johnson,773-601-9615,Street O,USA
Eva,1715,15,Grace Johnson,738-818-5193,Street K,France
David,1038,15,Charlie Smith,150-475-4616,Street M,India
Alice,1533,9,Helen Brown,720-835-2161,Street O,India
Jack,2752,31,Bob Lee,113-313-9051,Street O,France
Ivy,4992,10,David Smith,952-181-8668,Street B,Australia
Alice,3163,30,Grace Patel,920-754-1994,Street B,Australia
Frank,3620,48,Bob Brown,469-671-7814,Street F,USA
Alice,4846,39,Bob Patel,941-477-1955,Street R,France
Alice,2915,24,Bob Patel,943-731-5355,Street V,UK
Jack,4216,27,Frank Johnson,641-141-2153,Street Y,India
Helen,4641,45,Frank Lee,954-411-2276,Street J,Japan
Ivy,4024,36,Eva Smith,321-631-2591,Street W,Germany
Ivy,1312,31,Charlie Patel,203-842-4784,Street F,Japan
Charlie,1437,49,Grace Patel,644-494-4104,Street P,Australia
Alice,2261,35,Charlie Smith,297-638-5075,Street N,India
Ivy,4023,43,Charlie Brown,683-740-3931,Street E,Germany
Bob,4199,14,Bob Smith,671-867-7802,Street J,France
Charlie,2371,49,Ivy Smith,864-208-6864,Street W,Canada
Bob,3889,16,Jack Lee,790-569-7997,Street M,USA
Jack,3276,44,Alice Johnson,206-270-3955,Street P,Australia
Bob,4215,49,Jack Patel,663-511-9268,Street Y,India
David,3766,39,Charlie Johnson,445-773-3591,Street D,UK
Grace,3907,6,Helen Brown,646-714-8258,Street S,France
Bob,1278,34,Frank Patel,460-422-6319,Street V,Germany
Jack,3060,29,David Johnson,965-480-7755,Street P,Canada
David,3996,34,Charlie Brown,882-748-8054,Street V,France
Jack,3060,46,Grace Lee,945-843-6299,Street R,Australia
Jack,2588,24,Jack Brown,723-346-9939,Street V,UK
Alice,3566,5,Helen Johnson,319-484-5162,Street R,USA
Jack,1750,37,David Smith,468-563-8331,Street S,USA
Bob,4385,8,Bob Patel,506-100-1567,Street P,France
Grace,1049,4,Bob Lee,391-710-1267,Street P,Germany
Jack,1247,36,Charlie Johnson,630-238-5945,Street R,France
Jack,1199,33,Bob Lee,106-407-4635,Street F,India
Ivy,1263,13,Jack Brown,319-976-6159,Street Q,Canada
Frank,4037,37,Grace Johnson,122-890-5521,Street B,USA
Eva,1291,35,Frank Smith,666-623-3534,Street M,Australia
David,3552,10,Grace Smith,196-138-8542,Street I,France
Frank,1565,11,Frank Smith,464-259-3267,Street P,Australia
David,991,21,Charlie Smith,371-475-5093,Street S,Canada
Eva,3200,34,David Patel,338-362-5920,Street M,USA
Grace,1501,29,Eva Lee,194-684-7550,Street T,Canada
Charlie,3865,8,Bob Johnson,682-322-2264,Street V,Japan
Eva,3396,44,David Smith,840-432-8905,Street L,France
Helen,3964,14,Ivy Patel,277-599-2562,Street Y,USA
Frank,921,46,Jack Smith,709-757-5921,Street J,Japan
Bob,2856,38,Jack Smith,138-848-7251,Street K,Australia
Alice,3059,32,Jack Brown,180-898-1916,Street B,Germany
Helen,3380,6,Eva Johnson,889-442-6700,Street A,Germany
Jack,1348,33,Alice Lee,936-544-7824,Street S,Australia
Jack,4656,29,Eva Brown,988-223-4714,Street B,France
Bob,2242,4,David Brown,865-768-1187,Street E,France
Bob,1767,30,Ivy Lee,749-896-7266,Street L,UK
Ivy,4450,9,Jack Smith,155-412-9591,Street L,India
David,2337,33,Ivy Smith,142-426-9846,Street Z,Germany
Ivy,1386,27,David Johnson,678-253-6354,Street X,Canada
Eva,3368,30,Grace Smith,614-814-4617,Street S,Australia
Charlie,3511,37,Eva Brown,256-151-7436,Street A,Germany
Frank,1441,4,Alice Brown,556-870-9269,Street Y,Australia
Bob,2782,36,David Brown,192-327-8076,Street U,Japan
David,2352,30,Helen Lee,396-905-7460,Street K,Canada
Frank,4015,44,Grace Smith,251-235-6507,Street M,UK
Eva,715,20,Bob Smith,184-587-1807,Street D,India
Charlie,2690,47,David Smith,661-508-5301,Street N,India
Helen,737,2,Helen Smith,187-508-9221,Street L,Canada
Ivy,1977,26,Jack Johnson,544-892-3136,Street L,Canada
Eva,2738,17,Bob Johnson,880-238-8879,Street N,USA
Jack,3031,1,Ivy Brown,672-302-8993,Street L,India
Ivy,3283,48,Alice Brown,504-767-4212,Street B,UK
Alice,3375,14,Frank Lee,674-730-9589,Street V,Japan
Ivy,550,38,Frank Patel,352-348-2173,Street H,Germany
Eva,1986,5,Charlie Brown,372-895-8046,Street H,Japan
Bob,1673,3,Grace Smith,431-801-2467,Street H,Canada
Charlie,3783,28,Jack Brown,215-787-7776,Street U,Australia
Eva,1070,23,Grace Brown,533-474-6706,Street J,India
Bob,1662,45,Frank Johnson,295-428-6644,Street S,India
Bob,751,5,Ivy Smith,708-771-1396,Street C,France
Ivy,1251,35,Charlie Lee,888-412-3773,Street W,Japan
Charlie,4845,4,Helen Lee,458-731-8245,Street C,India
Eva,2262,5,Bob Lee,738-249-8216,Street J,Japan
Eva,3581,31,Alice Brown,145-937-4825,Street D,Japan
Jack,3939,3,Jack Lee,304-801-7124,Street K,India
David,4216,19,Bob Lee,259-875-2405,Street F,UK
Frank,3292,27,Alice Lee,215-857-1893,Street A,UK
David,1789,12,Eva Johnson,348-735-3419,Street R,UK
Eva,3531,50,David Smith,989-952-5713,Street K,Japan
Ivy,3052,9,Alice Johnson,114-451-2823,Street B,Japan
Helen,3157,50,Alice Smith,412-560-8719,Street O,UK
Eva,1195,42,Grace Johnson,123-439-4424,Street V,Canada
Alice,930,47,Ivy Smith,857-650-4471,Street N,Germany
Bob,1774,42,Eva Lee,308-659-9573,Street S,Japan
Grace,1789,27,Ivy Patel,868-364-9991,Street Q,Japan
Eva,907,24,Grace Lee,594-737-3315,Street N,USA
Alice,1168,25,Grace Patel,811-815-1301,Street I,UK
Alice,2729,29,Grace Lee,485-696-9631,Street A,Australia
Frank,4129,25,Bob Johnson,144-361-3790,Street W,Canada
Charlie,3973,25,Ivy Patel,161-390-4288,Street P,India
Eva,4478,6,Ivy Lee,908-813-5444,Street S,Canada
Charlie,4121,44,Jack Brown,154-576-1136,Street A,Canada
Helen,3892,43,Charlie Patel,168-497-5445,Street K,Australia
Ivy,2737,35,Eva Smith,778-972-6901,Street M,France
Grace,2265,9,Bob Johnson,985-210-1312,Street S,USA
Ivy,4697,42,Eva Lee,399-988-7332,Street M,UK
Alice,1432,23,Bob Lee,336-489-9331,Street K,Canada
Bob,3327,8,Ivy Smith,826-201-6168,Street S,Australia
Bob,4021,12,David Lee,596-987-9709,Street D,France
Charlie,1408,35,Charlie Lee,190-290-4258,Street Z,Australia
Ivy,2820,26,Ivy Smith,612-568-1352,Street P,France
Alice,4486,34,Frank Smith,140-353-9673,Street D,France
Frank,4816,9,Grace Brown,412-441-9027,Street W,Japan
Jack,3026,47,Jack Brown,502-862-3572,Street V,USA
Ivy,872,15,Bob Smith,118-455-6765,Street G,UK
Charlie,2306,1,Eva Patel,463-740-5953,Street K,UK
Grace,3737,49,Grace Patel,341-613-5519,Street P,India
Charlie,948,2,David Patel,931-163-5221,Street Q,USA
Alice,562,20,Alice Johnson,999-496-1482,Street Z,France
Eva,2174,30,David Brown,668-386-4695,Street Y,France
Frank,2969,44,Bob Patel,255-449-7436,Street V,Germany
Alice,2230,47,Grace Patel,772-240-2438,Street K,UK
Frank,1624,35,Bob Patel,847-491-9531,Street F,Japan
David,2593,28,Helen Smith,794-727-4726,Street T,USA
David,2871,35,Jack Lee,527-346-3502,Street J,Canada
Bob,3187,25,Jack Johnson,536-419-6395,Street L,Australia
Frank,1482,15,Alice Lee,559-655-3158,Street N,Canada
Ivy,563,16,Eva Brown,311-768-3270,Street G,USA
Grace,4574,30,Charlie Lee,694-654-4314,Street P,India
Jack,4027,23,Bob Johnson,983-241-6062,Street U,Japan
Charlie,1939,10,Alice Patel,805-822-9582,Street Z,France
David,1558,18,Charlie Patel,238-540-3378,Street C,Japan
Charlie,3614,13,Alice Smith,771-678-3589,Street R,Australia
Charlie,4862,47,Charlie Smith,425-169-9732,Street G,India
Grace,2385,49,Helen Johnson,836-221-4016,Street J,Japan
Alice,4598,8,Frank Patel,425-959-3384,Street I,UK
Charlie,3401,3,Ivy Lee,844-130-6221,Street B,UK
Frank,1090,43,Ivy Lee,523-521-5970,Street J,Japan
Grace,3752,27,Eva Johnson,553-863-5485,Street S,Japan
David,846,40,Charlie Smith,255-897-4079,Street M,Japan
Eva,4073,50,Frank Lee,209-234-4026,Street Z,UK
Charlie,653,2,Charlie Brown,126-880-5372,Street H,Australia
Bob,4266,16,Eva Johnson,720-680-4783,Street T,Canada
Grace,1137,14,Bob Brown,710-337-4783,Street X,India
Alice,3064,5,Alice Brown,803-126-6886,Street C,India
Helen,4016,7,Frank Smith,181-804-8808,Street W,Germany
David,3813,39,Grace Patel,237-614-8680,Street S,India
David,3921,3,Eva Johnson,829-765-7126,Street D,Australia
Helen,2871,29,Ivy Patel,288-972-7348,Street S,USA
Frank,1443,39,Bob Lee,603-585-3253,Street K,Japan
Eva,3818,44,Eva Lee,267-297-4707,Street I,France
David,670,46,Jack Johnson,133-518-1245,Street C,Canada
David,3160,4,Bob Smith,376-522-4646,Street S,UK
Alice,1907,16,Helen Lee,860-787-4323,Street Z,USA
David,4269,48,Helen Lee,875-309-2083,Street Q,France
Grace,3464,3,Ivy Patel,281-549-9027,Street P,Canada
Frank,1221,26,Frank Lee,804-432-8496,Street N,Canada
Eva,4077,29,Alice Smith,352-537-7633,Street G,Germany
Bob,1367,15,Helen Lee,894-142-7232,Street L,USA
Eva,2493,35,Jack Lee,837-420-7457,Street Z,Germany
Frank,4069,14,Charlie Brown,726-860-9784,Street C,Japan
Ivy,3780,49,Frank Smith,637-756-1630,Street U,USA
Grace,4792,50,Charlie Lee,633-211-8399,Street J,Canada
Ivy,1144,4,Eva Smith,567-946-1694,Street Q,UK
Frank,3742,9,Bob Smith,998-351-9498,Street Z,USA
Alice,3041,33,Jack Lee,650-505-1643,Street J,France
Bob,3281,19,Bob Lee,671-496-9456,Street N,Germany
Eva,2315,15,David Smith,883-745-1807,Street V,Germany
Charlie,3228,47,Ivy Patel,294-398-8201,Street R,Japan
Jack,1877,37,Alice Patel,507-411-5684,Street K,Canada
Eva,1125,21,Alice Smith,572-270-7921,Street G,Australia
Alice,4681,37,Alice Smith,401-727-1893,Street N,India
Bob,1434,39,David Patel,806-629-3330,Street M,USA
Jack,4846,50,Alice Patel,574-949-8400,Street I,Japan
Grace,4677,44,Helen Brown,192-839-9202,Street T,USA
Frank,2088,21,Frank Patel,215-284-9952,Street Q,Australia
Frank,3362,16,Grace Patel,238-502-7775,Street O,India
Grace,3376,20,Charlie Johnson,431-561-1408,Street V,UK
Jack,1709,10,Charlie Lee,283-564-4308,Street Y,India
Ivy,2435,43,Alice Brown,565-192-5097,Street R,USA
Bob,1342,34,Ivy Brown,431-808-3686,Street F,Australia
Grace,1699,15,Grace Smith,835-850-3024,Street A,India
Jack,2596,27,David Johnson,193-216-8362,Street U,France
David,2116,20,Frank Lee,749-471-2397,Street W,Canada
Eva,1921,18,David Brown,636-824-7292,Street Q,Canada
Alice,1752,4,Grace Patel,844-910-9383,Street F,Canada
